#{"t_start": 1761550294.894062, "env_id": "None"}
r,l,t
68.702555,414,0.615327
51.342116,426,0.897173
64.690764,340,1.145412
60.556417,414,1.411423
52.975845,414,1.681206
39.734027,414,1.949038
62.677086,352,2.200251
52.59777,424,2.471369
-98.400961,2700,3.422412
55.021424,396,3.685996
50.940203,409,3.952765
29.517073,414,4.222054
41.987703,396,4.484396
59.077772,340,4.729751
79.6567,340,6.884318
67.686378,340,7.148087
76.392506,340,7.395493
66.796065,340,7.644764
71.44396,414,7.917579
54.670542,352,8.169225
46.583827,340,8.415309
43.770539,340,8.666397
61.776278,409,8.938981
44.875811,418,9.217127
71.267258,396,9.484549
69.812745,414,9.758136
63.408405,414,10.03385
44.519058,427,10.313991
51.87694,396,10.577487
55.207036,414,10.854359
60.195318,414,11.123934
51.565159,340,11.373764
28.829852,414,11.649933
63.318508,340,11.900797
57.427251,414,12.180336
49.583397,340,14.502098
42.333918,340,14.775219
82.928952,340,15.031027
41.54297,414,15.316251
42.391017,340,15.566509
44.985262,414,15.849508
-76.311189,1128,16.3557
75.438495,414,16.62582
8.173669,414,16.902765
27.48184,414,17.180658
63.1262,340,17.437005
46.873458,414,17.719077
64.953217,414,18.000133
63.456524,414,18.279322
51.114304,414,18.563963
33.200981,422,18.845924
53.384631,424,19.128032
57.306322,414,19.411116
3.210212,416,19.696121
44.024852,414,22.082503
62.498313,340,22.353038
34.41029,340,22.612855
46.336724,340,22.875071
58.718088,340,23.138394
37.062485,414,23.426843
58.545831,340,23.681351
63.760139,414,23.971076
69.459053,353,24.233951
-84.637641,963,24.695865
29.048944,414,24.966264
80.800439,426,25.25497
34.17514,414,25.535946
73.971007,353,25.799965
20.660486,414,26.085849
61.875649,340,26.344396
27.229143,414,26.633705
-152.610597,1497,29.372077
58.40442,340,29.642728
64.61228,414,29.933401
49.025401,414,30.218978
76.380967,340,30.483186
-232.022781,2661,31.4556
81.454546,340,31.701486
23.562747,414,31.987024
43.800833,414,32.271268
31.692459,421,32.557417
23.803421,426,32.846708
33.232079,414,33.130756
33.870953,352,33.394698
52.838187,340,33.654862
91.126778,340,33.919983
19.205827,414,36.330483
37.37908,340,36.613562
68.656708,396,36.906136
-159.596932,2212,37.75009
-193.939028,2117,38.538367
31.010264,414,38.808643
43.207234,396,39.085349
18.387481,414,39.373594
29.124899,414,39.659853
58.546627,414,39.947808
45.011993,340,40.204511
46.97233,341,40.469572
37.984482,414,42.84156
32.679491,340,43.112735
28.252151,414,43.404681
72.196139,340,43.669773
-218.837158,1920,44.473603
58.9818,340,44.718368
50.055089,340,44.982111
40.491654,340,45.250141
45.476173,426,45.548097
-140.049612,2700,46.558829
61.438111,340,46.802677
29.961837,414,49.169291
74.361956,396,49.48092
40.340778,340,49.740735
45.514649,414,50.032198
-122.281618,2700,51.032666
