#{"t_start": 1761711814.5573661, "env_id": "None"}
r,l,t
-0.319762,1656,314.345849
0.113333,340,314.751191
-0.388048,2700,316.839605
0.311667,935,317.665189
-0.040143,352,318.122233
0.113333,340,318.505415
0.627762,2270,320.228216
0.728238,2700,322.265527
0.845333,2536,324.316189
0.421095,2700,326.403064
0.569714,2053,327.704003
-0.023095,2700,329.780386
0.713952,2700,331.493425
0.757143,2700,333.579923
-0.243619,364,334.055195
0.751333,2254,335.816081
0.069762,2097,337.470083
-0.641381,1034,338.437001
-0.015762,318,338.825161
-0.70119,1633,340.174397
0.026905,2700,342.232548
0.420429,2700,344.005445
0.9,2700,346.086318
0.885714,2700,348.143363
-0.241095,1294,349.06287
-0.359143,2700,351.100089
0.599333,2700,353.18149
0.162762,2227,354.907808
-0.006095,347,355.287794
-0.213286,1206,356.385725
0.614286,2700,358.464568
-0.201143,1372,359.620168
0.113333,340,360.017623
-0.540905,1913,361.515995
-0.586714,2700,363.575632
0.9,2700,365.610885
