#{"t_start": 1761778884.648051, "env_id": "None"}
r,l,t
-30.7,378,0.530315
28.957143,394,0.748113
25.107143,424,0.972373
-136.7,423,1.194978
-80.535714,428,1.419757
24.592857,422,1.641019
24.721429,352,2.777879
24.442857,349,3.002564
7.385714,393,3.214552
-102.042857,425,3.435698
25.342857,387,3.650599
24.721429,357,3.860934
24.721429,353,4.069002
-107.0,346,5.181151
-83.385714,452,5.434754
23.235714,467,5.661218
-106.55,415,5.881531
-30.0,346,6.086371
-134.321429,389,6.299705
25.342857,357,6.509805
24.442857,362,7.590859
-148.557143,366,7.825773
-91.835714,391,8.041916
-86.0,398,8.260365
25.064286,362,8.469724
-93.142857,517,8.707329
13.342857,396,8.925104
-85.85,424,10.040297
-196.771429,395,10.277938
25.0,344,10.47815
-86.335714,451,10.704084
-86.278571,350,10.914334
-203.771429,390,11.125372
-215.492857,404,11.340929
-118.828571,464,12.518542
-91.771429,416,12.764993
24.721429,410,13.004128
14.721429,401,13.226614
-120.771429,410,13.447222
-134.321429,380,13.660211
25.0,392,14.755813
-202.114286,353,14.989733
-87.907143,466,15.217731
27.171429,368,15.428415
29.235714,395,15.642017
24.721429,407,15.860389
25.0,356,16.070489
-96.528571,467,17.24545
29.235714,337,17.481617
-127.621429,434,17.708148
36.664286,491,17.941403
31.685714,405,18.160305
-108.835714,399,18.377683
25.0,407,18.594874
25.0,344,19.721909
-97.3,447,19.974619
15.171429,421,20.206007
-88.557143,357,20.421031
-82.321429,419,20.648467
7.235714,388,20.86492
33.364286,451,22.01313
24.785714,396,22.26638
24.442857,398,22.48312
30.05,442,22.713614
-86.0,352,22.924643
33.9,478,23.159715
-86.214286,409,23.379546
-173.278571,371,24.545294
31.021429,404,24.793069
-78.035714,514,25.035662
-91.0,344,25.243428
16.678571,389,25.478789
29.557143,412,25.708682
-106.021429,421,26.91343
-100.492857,409,27.171047
-118.557143,396,27.38999
19.171429,370,27.602005
25.0,362,27.810839
-104.05,412,28.031428
-202.557143,388,28.24985
24.164286,397,29.478688
24.785714,387,29.733896
-199.114286,394,29.947995
-122.278571,386,30.160317
-85.042857,382,30.374037
31.407143,435,30.598014
-123.55,419,30.814819
29.578571,397,31.968669
-162.921429,425,32.224527
-120.278571,397,32.44065
5.0,344,32.647044
-87.557143,408,32.866647
-99.385714,441,33.089147
-233.392857,404,33.301452
-115.257143,406,34.474058
25.321429,440,34.732977
-92.278571,397,34.9503
25.0,401,35.171707
31.085714,422,35.394591
29.235714,383,35.605228
15.0,398,36.730238
-87.485714,457,36.99855
25.0,396,37.214721
-88.114286,357,37.421965
-86.492857,390,37.63696
25.0,382,37.848836
-105.15,389,38.063863
24.721429,403,39.24228
25.0,360,39.486558
24.721429,346,39.692333
25.0,344,39.895255
-81.085714,476,40.127855
-36.828571,428,40.353068
-118.0,393,40.568725
-118.678571,354,41.717407
-78.935714,436,41.973292
-95.807143,410,42.194163
-105.235714,417,42.414739
25.0,362,42.622885
31.3,402,42.842038
-4.678571,445,43.067573
-84.235714,350,44.224172
-110.935714,354,44.466321
-94.835714,352,44.673302
-100.685714,429,44.895311
24.721429,357,45.101382
-106.042857,421,45.320431
-91.0,401,45.538605
-86.278571,401,46.752653
-106.0,349,46.989402
-85.935714,384,47.201655
-87.528571,452,47.427143
24.721429,360,47.636338
25.0,397,47.852587
32.414286,441,48.08082
29.407143,427,49.275589
24.721429,352,49.506206
27.171429,372,49.715111
-216.107143,389,49.929071
-100.035714,496,50.16296
25.0,341,50.370206
-86.835714,397,50.584923
-76.914286,475,51.795455
25.0,349,52.026153
-85.664286,455,52.253047
-90.278571,378,52.464944
-86.557143,360,52.671948
25.0,407,52.890495
-76.128571,517,54.080658
28.957143,412,54.337028
-86.278571,356,54.545396
-99.978571,418,54.765611
-82.321429,378,54.977773
25.342857,387,55.191336
-85.557143,395,55.406926
25.042857,370,56.534589
-99.978571,401,56.781391
-80.442857,442,57.009249
29.235714,411,57.229154
24.442857,366,57.437643
-75.0,341,57.643551
25.278571,405,57.860663
29.385714,407,59.05482
-86.0,341,59.285614
12.421429,394,59.50233
-103.828571,464,59.73171
-106.0,352,59.937948
-52.614286,352,60.143841
-142.321429,385,60.357335
25.0,348,61.532806
-116.407143,407,61.785684
-139.407143,410,62.005033
-86.278571,407,62.224279
25.128571,414,62.445012
-82.828571,419,62.667117
28.678571,421,63.851877
-86.278571,403,64.107975
25.0,335,64.314891
-87.278571,373,64.52576
-73.585714,523,64.765374
25.321429,358,64.974174
-81.764286,339,65.178116
-82.678571,473,66.381032
25.0,341,66.621143
-103.107143,398,66.836613
-101.042857,410,67.054673
-87.828571,430,67.27496
27.171429,368,67.484555
-1.0,356,67.68967
-88.557143,409,68.889759
-17.0,341,69.133316
-62.557143,352,69.342175
-85.278571,401,69.560301
29.235714,419,69.783536
-75.871429,458,70.013875
26.892857,404,70.230659
-117.557143,401,71.458693
-74.0,341,71.702055
13.678571,395,71.919742
27.042857,433,72.141624
-77.278571,407,72.358294
-92.15,421,72.578843
-1.321429,427,72.79842
29.6,415,73.978185
14.721429,379,74.223715
-100.6,379,74.437955
24.442857,404,74.655246
29.235714,392,74.870242
-139.557143,365,75.07825
24.721429,395,75.292957
25.0,352,76.472715
-105.892857,397,76.723167
-105.0,346,76.932163
-102.528571,440,77.15742
-107.592857,475,77.389203
-79.828571,451,77.616254
-74.992857,450,78.795906
24.721429,410,79.050996
-86.614286,422,79.272494
-57.935714,391,79.489114
-190.064286,484,79.725424
-101.0,347,79.93109
24.785714,387,80.146053
25.085714,434,81.376855
-68.1,417,81.617814
-95.557143,401,81.833844
-102.042857,355,82.041503
24.785714,409,82.259733
28.957143,411,82.477125
-84.021429,470,83.667221
-85.385714,417,83.922846
-18.042857,375,84.134492
-88.942857,403,84.350978
24.721429,390,84.566332
-86.0,355,84.775947
26.614286,421,84.997829
-14.278571,379,86.164327
-119.835714,406,86.412456
25.0,401,86.627112
29.235714,384,86.840214
24.721429,359,87.051523
1.085714,395,87.26722
30.464286,421,87.488977
-96.121429,434,88.681265
-83.935714,378,88.921478
-106.278571,407,89.139546
27.214286,475,89.37341
29.578571,405,89.590393
27.171429,372,89.79956
24.721429,378,90.013556
-80.0,349,91.354071
31.385714,450,91.613579
-85.364286,472,91.854202
-88.557143,397,92.0708
-110.4,465,92.303134
15.0,359,92.514719
-86.214286,425,93.680636
29.621429,381,93.925732
-84.107143,365,94.134609
-83.278571,365,94.345995
30.742857,421,94.566467
30.521429,427,94.790389
-237.6,389,95.007757
-83.828571,429,96.202929
24.721429,377,96.447184
25.0,410,96.667076
-77.85,435,96.892041
8.514286,444,97.116611
37.942857,447,97.340071
31.3,453,98.506195
-94.507143,511,98.79066
-166.835714,402,99.006042
15.064286,360,99.215829
25.0,344,99.417821
-101.557143,390,99.631935
38.714286,495,99.867632
-83.0,352,101.061536
-206.835714,391,101.312512
-100.557143,354,101.519729
28.957143,437,101.745469
-106.257143,392,101.961823
30.464286,400,102.177404
25.407143,390,102.391095
-40.835714,402,103.595145
33.192857,412,103.847372
-77.528571,452,104.075011
-8.557143,388,104.288312
24.721429,415,104.509422
-105.557143,349,104.714965
-219.214286,384,105.917972
-85.935714,407,106.185395
-86.278571,403,106.412881
-86.0,344,106.615122
0.05,458,106.84326
-193.257143,408,107.059792
-89.107143,366,107.270196
-170.278571,379,108.466351
25.857143,440,108.737683
33.835714,434,108.96395
29.728571,362,109.171716
-198.321429,384,109.382527
25.0,354,109.589354
24.721429,348,109.794063
24.764286,416,111.00137
31.085714,453,111.275752
31.364286,445,111.506983
-83.892857,420,111.727048
25.0,346,111.933599
-198.835714,407,112.148068
-81.7,379,112.359984
25.278571,355,113.556747
25.0,341,113.797072
35.257143,361,114.00934
11.171429,443,114.237253
-88.128571,455,114.466439
25.214286,462,114.693834
-88.0,401,115.866785
25.0,362,116.119922
-89.978571,414,116.340766
-83.064286,408,116.558179
-198.435714,460,116.786423
25.0,407,117.005913
-157.771429,409,117.223085
-86.6,433,118.399242
-86.0,359,118.636491
24.721429,396,118.855298
31.364286,447,119.083962
-112.835714,396,119.297168
-153.657143,408,119.51622
25.0,377,119.725317
-85.107143,450,120.992411
-92.957143,471,121.252012
-97.771429,392,121.46837
-80.907143,444,121.696494
25.0,344,121.904766
21.978571,454,122.131979
29.3,408,123.317143
-85.664286,459,123.583645
-23.214286,391,123.796589
-88.471429,420,124.01754
-6.507143,495,124.254308
-88.0,393,124.471723
-109.742857,414,125.634449
-113.321429,389,125.890631
29.514286,407,126.108038
-87.835714,396,126.322858
27.492857,461,126.55148
-105.0,368,126.757636
-106.128571,428,126.979013
-114.892857,433,128.17245
-84.107143,398,128.419228
24.721429,406,128.636014
-119.278571,384,128.849488
-60.764286,381,129.061698
-69.614286,380,129.273627
-213.557143,403,129.488849
33.535714,512,130.700221
-76.378571,474,130.954072
-24.657143,408,131.172961
-88.557143,354,131.381785
29.235714,399,131.59935
-104.771429,416,131.815864
-102.278571,393,132.995369
35.964286,389,133.25211
-113.557143,357,133.465612
-85.935714,362,133.673676
29.557143,437,133.899618
-85.657143,390,134.114165
-92.471429,404,134.329436
-81.485714,423,135.520149
-85.542857,563,135.806769
-88.707143,378,136.018285
-99.871429,455,136.245072
28.307143,469,136.47644
-113.871429,353,136.683709
-85.657143,416,137.871156
-99.321429,414,138.133938
-134.935714,408,138.354757
-89.535714,399,138.571472
25.0,362,138.777237
-97.764286,359,138.985122
25.0,338,139.185171
25.0,341,140.365908
27.578571,361,140.61954
25.0,341,140.828957
15.342857,368,141.037661
25.0,411,141.259566
25.364286,416,141.480059
-86.278571,397,141.695218
-84.107143,421,142.875982
-80.957143,445,143.142202
25.342857,413,143.365834
24.892857,425,143.591504
-93.671429,397,143.80821
-128.978571,438,144.030366
-104.935714,421,144.251928
-116.114286,395,145.443325
25.342857,371,145.693077
25.107143,407,145.914242
-197.828571,466,146.143006
-1.828571,358,146.347534
-193.6,402,146.565225
-87.407143,422,147.743535
31.3,473,148.022956
35.257143,451,148.254148
-39.0,341,148.460289
-86.828571,410,148.676893
-119.278571,397,148.893833
29.235714,403,149.110211
-86.421429,430,150.293023
29.235714,381,150.544312
-104.764286,414,150.768922
-41.828571,351,150.97896
-77.935714,362,151.186809
27.171429,414,151.406969
24.721429,401,151.623513
-86.835714,408,152.877899
-85.557143,374,153.118701
25.342857,408,153.348289
-18.957143,452,153.576599
28.957143,411,153.797174
-93.278571,365,154.007084
27.128571,358,154.213198
-133.385714,396,155.395464
-56.814286,448,155.652081
25.342857,401,155.868747
-66.721429,369,156.076472
-83.957143,410,156.295704
-87.0,344,156.503402
25.278571,397,156.717567
-80.485714,429,157.989004
25.0,346,158.222952
-87.278571,395,158.4418
-87.0,415,158.661037
25.0,344,158.870398
-222.764286,418,159.09111
-83.6,431,160.291492
-86.278571,377,160.539279
-103.871429,517,160.782937
-106.278571,389,160.998686
-86.0,365,161.20797
-86.278571,356,161.411397
-31.828571,428,161.635671
-106.557143,403,162.842463
25.0,376,163.089699
25.0,341,163.29303
-119.278571,401,163.509857
24.721429,398,163.724831
-85.557143,386,163.940575
-134.957143,360,164.150813
25.0,368,165.375252
