#{"t_start": 1761536332.899492, "env_id": "None"}
r,l,t
81.453753,414,0.604274
69.215236,351,0.863193
48.734061,351,1.122029
62.801778,351,1.374936
39.753233,411,1.643652
59.582015,418,1.913583
95.325337,414,2.181598
55.031024,350,2.431348
80.278723,351,2.681431
76.076312,351,2.934517
58.560183,423,3.208434
50.201193,351,3.458932
68.478894,351,3.706443
63.738574,351,3.958268
41.688897,414,4.2319
74.778325,351,4.485036
80.516686,351,4.73822
85.436218,351,4.992552
23.791514,414,5.267967
87.24962,446,5.555256
41.571944,414,5.827229
54.275127,351,8.795837
59.124232,351,9.067146
71.090435,425,9.356547
57.735022,426,9.639006
68.7893,414,9.923827
65.137843,351,10.184187
52.018009,414,10.467479
59.596453,414,10.745706
72.861153,414,11.030143
71.030581,351,11.292612
60.967839,351,11.557193
77.674736,414,11.841145
57.459075,351,12.100008
54.745057,351,12.358713
87.041804,351,12.625045
59.150716,351,12.889208
65.473997,351,13.157226
41.459477,358,13.425096
79.85346,450,13.731777
88.956188,351,13.993282
53.114369,351,14.257648
74.729845,405,17.380624
69.079865,414,17.699814
38.55964,425,18.003484
43.738158,423,18.29921
69.383498,411,18.590789
61.605618,411,18.886365
76.024589,351,19.155317
58.011344,351,19.425703
58.320175,414,19.721847
65.672372,351,19.993021
90.774719,351,20.264656
56.77492,351,20.537224
64.913911,351,20.816067
55.71946,351,21.084364
64.867327,351,21.359046
53.784416,351,21.634268
87.940826,351,21.905881
60.840101,351,22.178039
74.138498,351,22.448678
83.65436,351,22.723691
65.664665,351,22.999382
65.356518,414,23.298329
62.50153,414,26.463627
74.234029,351,26.749077
64.248601,414,27.048866
55.208193,414,27.342874
78.991078,351,27.613792
80.261623,351,27.891315
76.680709,418,28.188614
46.875028,443,28.490823
63.361663,351,28.760168
76.017899,351,29.036815
71.273697,351,29.3102
89.642209,351,29.585553
58.476714,351,29.860095
72.118661,351,30.131749
53.056053,351,30.40547
64.988326,351,30.679475
59.493418,414,30.977204
52.213594,351,31.246546
44.582038,414,31.54501
72.290787,351,31.813259
57.174909,351,32.082771
48.321882,414,35.279484
93.916432,443,35.626948
86.927328,351,35.899565
55.770491,351,36.171532
62.518163,351,36.445914
54.272998,414,36.748001
67.977076,414,37.04173
68.71768,351,37.317499
91.216558,351,37.592261
52.696103,411,37.890805
36.96044,414,38.190386
76.183279,351,38.464791
90.242719,351,38.742716
76.778267,351,39.01654
78.472009,414,39.319282
87.217292,358,39.594276
71.584333,414,39.894387
67.984766,348,40.162079
82.385722,414,40.464123
78.883025,351,40.737965
67.81348,414,41.084414
67.711088,351,41.357154
76.94004,351,44.59181
29.500414,351,44.885925
39.812176,414,45.19258
80.363692,351,45.465444
76.15404,425,45.785074
91.334185,351,46.056695
82.462731,414,46.361859
56.615409,414,46.660619
50.600878,414,46.957647
54.053839,414,47.258254
66.916945,417,47.562369
78.864212,429,47.865991
59.710862,351,48.134766
82.52901,351,48.416572
65.476162,351,48.697633
54.523013,414,49.001606
71.048786,351,49.274392
72.604952,356,49.556509
57.623841,413,49.859405
68.685408,351,50.130238
87.59499,351,50.411376
87.146755,414,53.681468
89.172701,414,54.002251
73.194787,351,54.287064
71.814145,446,54.606824
84.002761,351,54.885255
92.006891,414,55.19371
100.755091,417,55.498672
93.557682,434,55.807094
49.954245,424,56.10768
68.1624,414,56.411039
88.067165,351,56.688841
74.163812,414,57.000626
73.983773,414,57.305266
60.321977,414,57.608689
68.936146,414,57.906736
59.022133,414,58.206291
55.558898,414,58.512921
36.31241,414,58.818297
79.778553,351,59.092458
74.581153,414,59.402683
73.647207,414,62.665265
77.399747,417,62.988668
79.289581,351,63.266486
54.63994,351,63.552353
51.743033,351,63.840001
59.081803,414,64.153366
67.898027,351,64.428946
56.597843,414,64.735568
85.053846,361,65.017452
58.4529,351,65.299109
64.48964,351,65.576734
62.365631,351,65.862071
84.188923,414,66.170481
52.934821,425,66.479666
54.13716,351,66.754567
52.986712,414,67.069416
73.734325,351,67.345836
65.641534,351,67.62962
63.996921,351,67.913877
49.450925,414,68.221849
75.197053,422,68.528927
44.860432,414,71.841302
37.39424,414,72.178863
82.071251,414,72.489983
70.576157,414,72.79326
53.439111,414,73.097582
80.926042,351,73.373873
53.292353,351,73.65623
71.213507,351,73.942665
43.323104,423,74.255371
17.662264,414,74.556054
58.729583,351,74.833494
44.288951,351,75.115168
80.221895,414,75.426324
67.601873,351,75.703379
57.171174,351,75.984873
47.818651,351,76.267377
21.759042,414,76.573048
56.537213,351,76.851672
