#{"t_start": 1761630071.150025, "env_id": "None"}
r,l,t
125.0,414,190.677631
-123.15,1392,191.127665
125.9,413,191.415575
125.0,415,191.723092
75.0,858,192.185037
125.0,340,192.442161
24.95,2700,196.383851
76.2,1479,197.026621
75.75,851,197.470154
75.0,858,197.912808
75.0,858,198.353676
100.0,858,198.801566
-123.35,965,199.151515
125.0,414,202.201398
100.0,414,202.515523
100.0,414,202.828468
125.0,414,203.141937
-75.0,785,203.582043
100.0,599,203.945182
-86.2,2155,204.787423
95.55,1038,205.30364
125.0,414,205.592471
100.0,414,205.899436
100.85,414,206.205614
125.0,414,206.511275
-124.35,1296,209.939516
149.2,1301,210.527292
100.0,414,210.816411
100.0,858,211.28354
-125.0,607,211.644076
135.4,438,211.949322
126.0,417,212.257458
-75.0,778,212.69497
100.0,414,212.988453
-89.6,1299,213.588781
75.0,858,216.954003
100.0,858,217.435201
100.9,425,217.737971
75.0,858,218.206065
-95.85,2168,218.822115
100.85,778,219.24416
-97.1,1540,219.896702
125.0,416,220.183469
100.0,858,223.431527
-23.25,2700,224.494625
125.0,340,224.756344
76.0,805,225.201508
100.0,414,225.490381
100.0,858,225.954471
75.0,415,226.245443
100.0,340,226.522513
100.0,414,226.839574
97.95,1509,227.500059
125.0,414,230.711861
106.2,1821,231.28487
100.9,412,231.578078
75.65,858,232.046141
86.95,1020,232.535122
-123.65,1495,232.999307
75.85,1057,233.498575
125.0,858,233.944174
-75.0,1401,237.429518
75.0,858,237.878826
100.0,858,238.32283
76.0,842,238.76772
-49.35,2700,239.780675
125.0,858,240.221853
-75.0,618,240.585206
125.0,414,243.690786
100.0,858,244.191932
-125.0,1201,244.592183
100.0,414,244.886806
-97.6,1217,245.298901
100.0,858,245.744816
100.0,414,246.035865
75.75,829,246.487407
75.15,867,246.933151
-47.0,1190,247.479684
100.0,414,250.680615
-123.5,1772,251.236811
100.0,858,251.683324
100.0,414,251.970871
100.0,858,252.430968
-125.0,1244,252.989261
100.0,414,253.279861
-97.8,1007,253.791684
75.0,414,254.079981
-75.0,833,254.535123
100.0,858,257.891254
100.0,414,258.185198
75.0,858,258.648986
75.0,858,259.095123
-125.0,887,259.430467
