#{"t_start": 1762040969.72041, "env_id": "None"}
r,l,t
-130.978571,1979,263.822891
-217.642857,822,264.299183
-212.878571,1067,264.86486
-239.971429,733,265.206911
-231.457143,642,265.524865
-167.15,1299,269.362906
-230.757143,651,269.689337
-180.678571,1209,270.168132
109.928571,1055,270.601361
-197.8,1307,271.090717
28.114286,803,271.443697
-198.378571,1177,271.978321
-222.764286,911,272.365321
-189.707143,1376,275.959733
-194.721429,887,276.419614
-193.15,1648,277.13274
-109.471429,2342,278.057391
-203.321429,1072,278.562742
-223.728571,1019,281.72366
-189.621429,1361,282.407411
-106.735714,2335,283.308564
-191.221429,2154,284.153884
-235.935714,706,284.559071
-214.1,1020,285.045374
-99.057143,962,288.302402
-215.657143,897,288.709992
-212.7,1073,289.227397
-179.0,1253,289.701278
-209.457143,1123,290.141191
-189.45,907,290.608716
-162.742857,1780,291.384376
-227.428571,918,294.694915
-171.55,1880,295.481396
-0.542857,1094,295.924424
-218.928571,852,296.289447
-204.928571,1240,296.839216
-167.435714,1284,297.434416
0.628571,1124,297.877982
-207.514286,1189,301.269133
15.485714,1660,301.875526
-184.0,1394,302.507802
-155.214286,1876,303.259219
114.814286,2700,307.010629
-164.45,1699,307.61919
-183.135714,1175,308.162983
-231.942857,772,308.505887
0.75,1100,308.946246
-197.128571,1022,309.361317
-218.735714,1025,309.853114
76.557143,988,313.066857
13.928571,2700,314.144425
-196.142857,1048,314.67082
-177.8,1345,315.267433
-33.642857,696,315.595026
-204.778571,981,316.081201
-165.992857,1653,319.605441
-209.257143,992,320.023885
-207.228571,1191,320.587205
41.607143,824,320.957715
-204.635714,1145,321.412654
-141.092857,2625,322.439387
7.785714,2700,326.257886
-200.835714,1188,326.78669
-218.278571,809,327.209907
-214.357143,1008,327.679856
-142.121429,912,328.063581
-200.978571,1014,328.530683
-147.992857,2207,332.194982
-232.335714,724,332.534265
-153.292857,1330,333.03375
-222.514286,751,333.371783
-163.028571,1528,333.996581
-218.607143,1171,334.454192
-154.135714,1554,335.118982
26.578571,765,338.272642
-173.185714,1625,338.886565
-131.478571,2144,339.704802
-204.514286,1160,340.270945
-234.15,510,340.588908
-197.25,1221,341.063151
-198.235714,977,344.221677
-167.4,1256,344.75186
-224.535714,696,345.075617
48.485714,2343,345.999925
-185.857143,1635,346.695839
-96.971429,2354,350.318977
95.607143,2341,351.268428
-151.742857,1681,351.855395
-21.378571,1220,352.325544
-221.55,776,352.734599
-177.307143,1133,353.179334
-226.3,767,356.268802
-203.307143,994,356.709017
-179.207143,1686,357.436001
-186.821429,925,357.823435
-147.828571,1595,358.482114
-200.192857,1334,358.991522
-216.471429,1018,359.476664
