#{"t_start": 1762026536.480345, "env_id": "None"}
r,l,t
38.8,340,159.903293
34.7,340,160.132731
19.5,414,160.401596
39.0,340,160.658421
22.5,414,160.921977
29.7,340,164.293802
92.892857,2700,165.248391
23.9,340,165.475473
20.5,414,165.742384
17.385714,1918,166.435182
22.007143,430,166.709803
20.8,414,166.986821
42.8,414,167.267462
25.4,414,167.550799
14.1,340,167.810668
36.4,340,168.06407
24.7,414,171.270961
40.9,414,171.583417
38.7,414,171.84306
29.9,340,172.074777
31.8,414,172.322182
35.3,340,172.550946
37.8,414,172.820333
42.0,340,173.060044
36.7,340,173.289001
34.0,340,173.516935
30.1,340,173.746453
36.1,340,173.989526
37.6,414,174.251206
34.9,340,174.494941
28.8,414,174.780091
27.6,414,175.061707
42.0,340,175.305259
23.0,414,175.558002
37.95,1937,179.41223
44.3,414,179.688673
39.064286,417,179.942258
25.5,340,180.173039
26.4,414,180.441217
22.0,414,180.706192
20.6,414,181.022769
31.0,414,181.303107
25.0,340,181.561669
30.0,414,181.846057
34.285714,2249,182.632083
43.0,414,182.902361
44.642857,412,183.181299
19.8,414,183.466025
41.0,414,183.749973
34.485714,448,187.139114
-28.671429,1319,187.677369
-26.8,1480,188.232873
30.4,414,188.503838
40.4,414,188.764749
20.4,1672,189.379537
36.9,340,189.610179
20.314286,418,189.877165
33.3,340,190.130894
24.0,414,190.417695
16.2,414,190.677129
42.0,340,190.921351
-0.15,1059,194.328628
33.4,414,194.58592
27.7,340,194.817864
26.4,414,195.06553
17.4,340,195.310653
36.0,340,195.568236
-17.685714,1797,196.231995
13.1,414,196.484227
26.3,340,196.713568
30.557143,421,196.978204
16.7,414,197.257714
15.7,414,197.516232
41.7,340,197.745937
36.0,414,198.010349
39.5,414,198.294349
23.7,414,198.557456
64.235714,2700,202.628015
33.3,340,202.877546
41.5,340,203.148076
24.214286,423,203.439938
42.0,340,203.683118
42.0,340,203.910847
23.8,340,204.138305
40.4,340,204.367107
25.0,414,204.618759
9.3,340,204.847354
31.3,340,205.07445
42.0,340,205.316214
31.3,340,205.573194
32.3,340,205.83847
41.3,340,206.084032
20.6,340,206.326829
41.8,340,206.57631
26.3,414,210.01939
42.0,340,210.271955
32.0,414,210.543967
23.5,414,210.829773
33.8,414,211.092141
35.4,414,211.361085
41.6,340,211.628621
21.7,340,211.874809
25.7,414,212.126371
42.0,340,212.369997
29.8,340,212.616885
25.9,414,212.870586
18.5,414,213.139947
38.1,340,213.382549
36.5,340,213.617712
7.271429,1875,214.340712
41.9,340,214.574945
38.2,2146,219.21616
28.8,414,219.488174
42.0,340,219.734827
32.714286,423,220.030381
29.0,340,220.277882
27.9,340,220.531408
27.1,414,220.827434
16.8,340,221.092874
23.4,340,221.364436
40.1,340,221.63411
-27.25,1243,222.133788
41.6,340,222.36494
30.6,340,222.608643
27.6,414,222.899003
22.4,340,223.160188
46.735714,443,226.69698
37.628571,2147,227.488641
39.3,414,227.762491
21.8,414,228.050155
26.664286,426,228.321457
37.7,414,228.605961
40.0,414,228.878954
40.1,340,229.122366
26.4,414,229.3867
41.8,340,229.635328
24.2,414,229.925332
25.1,414,230.235883
32.4,340,230.502609
26.0,414,230.799341
22.8,340,231.046718
40.0,340,231.294
11.9,414,234.820101
3.064286,1393,235.411892
25.2,414,235.683467
34.9,414,235.947671
25.5,414,236.217471
21.2,414,236.483144
42.0,340,236.713411
36.7,340,236.942207
33.8,2691,237.841666
50.75,2601,241.569488
25.8,340,241.827528
26.6,414,242.120423
10.1,340,242.365735
31.7,340,242.612122
21.2,340,242.85453
31.3,340,243.098282
13.221429,1691,243.741393
26.9,340,243.987612
35.8,414,244.274887
22.5,340,244.514681
49.442857,443,244.79413
22.3,414,245.076276
31.6,414,245.336964
38.371429,424,245.590723
24.9,414,245.842047
35.7,340,249.245198
43.192857,442,249.541
42.0,340,249.774188
27.5,340,250.022953
20.55,1513,250.604462
28.0,414,250.877381
29.3,340,251.127836
32.3,414,251.403652
39.4,340,251.647663
19.4,414,251.897472
39.2,340,252.127869
30.5,340,252.356012
37.8,340,252.587519
34.7,414,252.852683
26.4,414,253.11498
29.7,340,253.366352
23.6,340,253.610649
30.135714,443,253.885598
28.7,2360,258.033235
30.2,414,258.287711
31.657143,425,258.571884
42.0,340,258.84209
42.0,340,259.116194
17.2,414,259.415406
34.9,340,259.687219
25.471429,2156,260.462668
19.6,414,260.733727
22.6,340,260.974586
21.264286,2497,264.784404
42.0,340,265.034247
33.9,414,265.328979
0.9,340,265.594863
63.985714,2700,266.531202
25.3,340,266.758934
35.1,414,267.011063
25.3,414,267.276989
38.5,340,267.515993
34.2,340,267.763632
40.4,340,268.013024
33.0,340,268.261791
37.9,340,271.519425
20.3,414,271.829221
41.4,414,272.099231
42.0,340,272.327329
37.857143,2700,273.236809
43.0,414,273.50658
42.0,340,273.748245
42.0,340,273.997201
33.8,414,274.283796
-2.9,1018,274.716789
46.9,444,274.973962
32.1,414,275.24365
41.7,340,275.485534
36.6,340,278.709891
23.7,414,279.031521
25.985714,418,279.317794
93.242857,2700,280.263561
16.9,414,280.534092
29.8,340,280.773898
30.1,414,281.027924
40.907143,424,281.283248
35.3,340,281.526365
34.3,414,281.812488
9.3,340,282.072263
35.6,340,282.324952
29.8,414,282.595588
21.4,340,282.853906
29.0,414,283.121828
39.557143,343,283.353466
28.5,340,286.688352
23.2,414,286.970434
33.4,414,287.248673
22.8,414,287.534168
41.5,340,287.800087
42.0,340,288.049668
24.5,414,288.32204
32.292857,444,288.592172
38.057143,433,288.852154
24.114286,2700,289.767369
36.9,340,290.012117
36.6,414,290.281564
29.4,340,290.526652
25.1,414,290.790694
25.8,340,291.035583
40.242857,461,294.494436
62.792857,2700,295.425251
33.3,414,295.693952
33.7,340,295.935718
9.7,340,296.181457
44.085714,423,296.447682
39.0,414,296.719288
35.2,340,296.982368
20.2,414,297.274939
37.9,414,297.569553
32.8,414,297.832727
31.9,340,298.062633
37.457143,421,298.333486
28.907143,414,298.617945
22.821429,425,302.054047
25.9,340,302.32079
40.0,414,302.602915
32.592857,442,302.90401
41.7,340,303.173632
19.192857,427,303.479261
33.2,414,303.752281
29.7,340,303.9946
35.8,340,304.250284
42.0,340,304.507134
41.0,340,304.761421
34.6,340,305.011622
28.2,414,305.283249
35.8,414,305.545078
42.0,340,305.774083
42.1,414,306.022656
38.8,414,306.290409
39.8,340,306.540521
21.764286,417,306.790465
41.3,414,307.042936
40.3,414,307.312211
34.6,340,310.910001
23.664286,426,311.22723
22.8,414,311.519263
20.4,414,311.813151
42.0,340,312.061242
29.1,414,312.336384
40.1,340,312.605338
14.8,414,312.900991
27.0,414,313.195834
30.3,340,313.457673
24.0,414,313.731898
-12.921429,1318,314.244028
26.2,340,314.4913
30.9,340,314.7553
19.764286,414,315.026873
34.5,340,315.257942
-25.8,916,315.651022
41.6,340,315.881677
36.8,340,319.426411
35.3,340,319.714346
39.0,340,319.988044
42.592857,439,320.2958
69.085714,2700,321.225563
42.0,340,321.477036
22.8,414,321.747459
22.6,414,322.023671
36.171429,478,322.31498
24.7,414,322.566136
38.7,340,322.808733
39.7,340,323.074257
32.671429,378,323.33372
39.321429,423,323.6098
44.3,414,323.898493
35.1,414,327.353994
34.7,340,327.604591
42.0,340,327.836171
27.9,340,328.068392
29.735714,409,328.342963
35.3,414,328.614317
19.714286,413,328.887655
21.0,414,329.15731
36.5,340,329.386093
10.6,340,329.634735
40.5,414,329.898598
42.0,340,330.125368
30.4,414,330.396525
-2.75,1003,330.82851
26.0,414,331.094485
39.6,340,331.35725
41.0,414,331.650816
18.3,340,331.900164
38.421429,425,332.180366
21.1,340,335.838713
40.3,414,336.169151
14.8,340,336.418089
17.8,340,336.672361
30.1,340,336.923065
32.7,340,337.157263
-3.107143,2159,337.919351
35.9,414,338.191002
30.2,414,338.479108
42.0,340,338.724633
43.192857,446,339.010153
31.5,414,339.300155
15.5,414,339.585033
43.05,453,339.888911
40.2,414,340.175473
31.3,340,340.423196
32.085714,419,340.697277
32.7,414,344.215555
34.8,340,344.480258
39.2,414,344.762988
21.8,414,345.050855
35.0,340,345.299224
41.6,340,345.52592
41.2,340,345.771369
18.2,340,346.015209
27.6,340,346.263786
40.7,414,346.554416
40.2,340,346.802914
35.3,414,347.0759
17.664286,2230,347.85835
10.3,414,348.109688
22.1,414,348.359295
39.2,340,348.603708
-51.85,1501,352.452202
22.1,414,352.701594
35.1,414,352.950749
42.0,340,353.200646
41.6,340,353.471776
41.7,414,353.739189
30.8,340,353.986199
42.0,340,354.259514
23.114286,416,354.553645
15.4,414,354.833295
31.271429,424,355.112036
38.4,414,355.403639
29.7,414,355.690294
15.3,340,355.936029
35.178571,428,356.191509
42.0,340,356.437416
41.221429,425,356.704869
31.5,340,356.931735
32.114286,450,360.524619
18.1,340,360.820485
25.457143,425,361.13012
31.5,414,361.428291
40.1,340,361.686246
34.9,340,361.937884
16.314286,420,362.209797
39.0,340,362.459228
18.1,414,362.737373
-17.1,884,363.121253
24.6,340,363.349575
32.5,340,363.579615
31.1,414,363.851084
42.0,340,364.094667
26.8,340,364.322106
13.6,414,364.587969
19.0,414,364.875212
41.5,414,365.163441
27.2,414,365.422105
32.785714,444,365.686468
30.3,414,369.334008
8.4,414,369.618944
42.0,340,369.870018
13.3,414,370.170948
37.707143,1975,370.908507
29.4,340,371.156179
21.542857,452,371.436853
38.7,414,371.686965
26.257143,424,371.9579
-11.535714,1774,372.61278
32.65,435,372.87133
28.1,340,373.1164
34.2,414,373.37924
42.0,340,376.672019
23.6,414,376.991003
29.8,414,377.286965
22.0,414,377.55406
42.0,340,377.802255
36.3,340,378.072033
23.6,414,378.371642
42.0,340,378.612272
21.2,340,378.870318
22.6,414,379.144058
25.9,340,379.37712
42.0,340,379.626254
41.9,340,379.895036
38.7,444,380.197436
18.0,340,380.437138
27.3,414,380.68771
25.0,414,380.960342
18.9,414,381.225108
18.0,414,381.497291
42.0,340,381.768102
29.4,414,382.060658
22.2,414,385.801508
25.7,340,386.093422
25.4,414,386.366144
42.0,340,386.598074
42.7,414,386.873066
33.1,414,387.16508
40.135714,423,387.438318
42.1,414,387.713331
15.942857,452,387.991307
20.0,419,388.265979
36.9,414,388.561264
27.7,414,388.823722
15.9,414,389.074019
23.5,414,389.343339
30.8,340,389.585801
22.564286,417,389.859606
41.7,340,390.110339
37.4,414,390.382857
40.464286,420,390.672111
21.1,340,390.915225
42.0,340,391.146262
34.1,340,394.763903
37.1,340,395.02743
24.2,340,395.284524
19.8,340,395.535597
75.085714,1833,396.198501
38.8,340,396.443896
42.0,340,396.709781
28.3,414,397.005079
22.1,340,397.260115
18.7,414,397.532462
42.0,340,397.793773
24.578571,424,398.095898
35.9,340,398.345102
42.0,340,398.573853
