#{"t_start": 1761527569.145407, "env_id": "None"}
r,l,t
-171.570837,1179,0.803449
-131.423141,1297,1.342194
-163.180629,1393,1.825631
-176.763344,1890,2.486226
-151.620625,2055,3.0888
-71.458144,2015,13.134979
-130.752198,745,13.440445
-54.814715,1237,13.862111
-11.591775,1836,14.423042
-180.102314,1481,14.896364
-161.29959,1922,25.109686
-68.516257,992,25.482171
-71.579106,989,25.855417
-72.512087,1468,26.333039
-98.019446,1554,26.818659
13.519818,2700,37.347672
-87.749103,1919,37.938061
-196.507925,1861,38.493314
-24.705819,1837,39.051154
-81.198748,2662,49.637195
-19.429115,1169,50.041637
-126.818145,1249,50.453787
-192.257256,1581,50.947806
-106.651533,849,51.272349
-36.601436,2700,62.033165
-164.990334,1329,62.503569
-171.999762,2398,63.177567
-75.943068,1502,63.649861
-51.756649,2500,64.354821
-62.236564,853,74.796536
-78.755151,852,75.139314
-85.07853,2413,75.823634
-20.198724,2373,76.494632
-79.931573,1645,77.002824
-54.498384,1504,87.746472
-157.089202,2183,88.384416
-129.458429,1818,88.923379
-80.405968,2700,89.67833
-96.914666,920,100.295713
-166.432835,1141,100.69424
-34.470627,1654,101.205526
-99.487794,1691,101.724972
-107.33409,1186,102.126813
-64.698971,2325,113.13142
-76.715522,1393,113.588326
-16.630894,2452,114.276995
14.871956,2478,114.978607
-26.439093,1543,125.843985
-109.312367,927,126.207536
-38.428243,908,126.543866
10.70154,2245,127.189644
-64.196793,2601,127.915206
-148.195299,1787,138.977504
-152.392634,889,139.316804
-74.588606,2320,139.978708
-164.60822,1713,140.496975
9.935369,2390,151.643009
-58.320161,2204,152.33975
-103.189774,2308,153.054778
-103.135581,1494,153.71162
-24.544539,1039,154.225132
-56.788202,1285,165.461837
-93.0078,857,165.94698
12.520501,1697,166.670839
-134.35148,2247,167.551148
3.355458,2444,168.512188
-186.140417,2025,180.057651
-107.324901,1475,180.70441
-13.408495,2700,181.744729
2.112434,2700,193.314479
-80.99389,1047,193.872467
-93.873571,2200,194.75183
-124.653054,773,195.166209
-61.439886,2700,196.192196
-64.506423,1966,207.908355
-59.384558,2027,208.73988
-135.196254,2313,209.649492
-70.216351,1022,210.144387
-71.228672,1576,210.822028
-13.554899,2700,222.614185
-14.153424,1800,223.366266
-23.855635,2418,224.305039
9.794977,2700,236.066449
-51.063474,1086,236.592799
-113.283371,1933,237.385249
-89.16589,2139,238.240984
-68.206748,1700,238.945586
-41.112609,1559,250.469237
-93.862377,679,250.861375
-101.970241,1414,251.488491
-63.941011,939,251.960543
0.61435,2427,252.906229
-22.15909,2700,264.777309
-29.607852,1962,265.585908
-22.230762,1710,266.311282
-49.766548,1335,266.911878
-53.396179,1886,278.552591
-82.960265,830,279.029959
-108.97802,1018,279.53939
7.403207,2337,280.470655
-85.706813,1599,281.15278
-64.199363,1108,281.67855
-11.361903,1016,293.079027
-60.430505,1892,293.911649
-7.351287,1873,294.69325
-59.689907,1798,295.444199
-0.619082,2358,296.367344
-56.847132,2700,308.282373
-13.788889,981,308.77239
-87.530028,1297,309.361895
-34.725968,2528,310.354397
-79.621705,944,321.670216
-75.82105,2700,322.741417
-123.288148,1899,323.52423
-145.392985,798,323.957916
-62.881095,1134,324.496372
-68.47198,1661,336.071534
55.590174,340,336.363059
88.741404,340,336.658452
1.757322,1795,337.445149
-19.614951,2280,338.364584
8.490446,2561,339.363396
-56.333205,912,350.786923
-22.343801,2517,351.781138
-36.98282,1421,352.410666
-16.808135,1112,352.944098
-59.699178,1033,353.44717
-57.903211,769,353.869028
-66.146573,2021,366.055933
-51.083304,1041,366.574154
-79.211926,1607,367.267501
-43.074742,2700,368.31528
-45.47796,1253,368.885766
-68.330148,1402,380.484481
-58.210479,765,380.912595
-13.933779,1521,381.585085
-63.065613,1366,382.215213
-19.285287,1272,382.807441
