#{"t_start": 1761855647.415693, "env_id": "None"}
r,l,t
1811.0,1087,0.829425
1382.0,708,1.159309
-640.0,440,1.420564
5406.0,1716,2.929715
3010.0,1082,3.36786
1977.0,359,3.599683
2878.0,1115,4.923986
3140.0,639,5.234902
710.0,697,5.563388
2519.0,1015,6.844262
2445.0,734,7.181529
4897.0,1423,8.531801
439.0,405,8.792825
-899.0,372,9.029875
1472.0,300,9.248142
4508.0,1334,9.741507
4700.0,1661,11.319518
4580.0,1413,12.655904
438.0,573,12.966637
396.0,735,13.2988
4186.0,898,13.680479
-503.0,535,14.863366
1721.0,1049,15.2978
477.0,661,15.616292
2129.0,945,16.845788
4061.0,843,17.22898
534.0,608,17.533627
12347.0,2700,19.308011
1623.0,1157,20.569026
-1664.0,374,20.824612
2943.0,711,21.156922
112.0,622,21.46336
3874.0,1141,22.888711
2945.0,1073,23.337712
3118.0,842,23.702045
7.0,608,24.956062
1538.0,889,25.348724
147.0,722,25.682549
3324.0,948,26.962889
185.0,625,27.302093
2183.0,1116,27.743589
-513.0,612,28.04716
2545.0,1081,29.424067
-248.0,528,29.705895
3794.0,1462,31.125814
-1359.0,509,31.425833
568.0,765,31.764852
765.0,783,32.112343
4095.0,1409,33.586337
2956.0,1095,34.016293
5941.0,2033,35.596115
1204.0,837,35.960099
2412.0,1103,37.283003
4386.0,1334,37.796926
-535.0,668,38.11312
2962.0,1106,39.499488
2713.0,1070,39.925799
-1760.0,290,40.139572
188.0,648,41.37901
3761.0,1433,41.924871
2917.0,1115,43.221276
6292.0,1943,43.928351
1040.0,801,45.141058
3388.0,1225,45.650565
786.0,741,45.990031
1065.0,850,47.292945
2610.0,1056,47.729976
4395.0,1071,48.16745
-382.0,608,49.412123
1607.0,297,49.652287
882.0,857,50.017539
-107.0,307,50.245133
4383.0,863,50.614902
658.0,760,52.028823
3720.0,1033,52.452441
2401.0,1203,53.798853
4275.0,1595,54.399576
-762.0,368,54.635399
2008.0,864,55.939516
1917.0,555,56.246042
2823.0,656,56.560423
-1176.0,306,56.77349
5331.0,1947,58.451336
-92.0,651,58.77107
1504.0,293,58.985174
1132.0,823,60.274321
3630.0,697,60.630774
2374.0,1099,61.058154
-1837.0,287,61.266237
1423.0,292,61.484431
962.0,847,62.896825
3433.0,1372,63.411091
-1753.0,303,63.629921
2388.0,857,64.934936
2910.0,880,65.324142
23.0,329,65.544531
-1591.0,301,65.760398
-514.0,554,66.047351
1415.0,351,67.290149
448.0,345,67.539595
1996.0,1052,67.961845
1454.0,963,68.360077
2576.0,602,69.646399
-768.0,598,69.958886
2846.0,987,70.364385
-1818.0,298,70.579275
3560.0,1048,72.012072
2803.0,679,72.330595
-34.0,543,72.617313
6085.0,1518,74.142191
2603.0,1128,74.589894
-1495.0,285,74.802962
-850.0,310,75.018039
648.0,708,76.342321
3939.0,1074,76.789323
1129.0,885,77.163184
6546.0,1377,78.638229
1185.0,778,78.987256
5752.0,1137,80.342739
3493.0,1216,80.848825
4731.0,1264,82.212649
-1431.0,281,82.458924
1119.0,531,82.736752
870.0,520,83.015775
-1418.0,308,83.233522
6180.0,1905,84.943914
-297.0,646,85.256978
2444.0,743,85.596482
3378.0,1114,86.984527
1460.0,582,87.282312
493.0,740,87.621409
110.0,420,87.87074
-2174.0,314,89.072076
1087.0,815,89.483476
-1517.0,287,89.693897
2362.0,815,90.055377
1696.0,556,90.342403
703.0,740,91.735376
-1396.0,386,91.981959
3854.0,1378,92.497638
1646.0,1005,93.895067
5062.0,1454,94.437241
3624.0,1427,95.917242
-345.0,389,96.164236
793.0,858,96.532677
-1162.0,402,96.779518
2088.0,820,98.135642
4468.0,1414,98.672757
-578.0,447,98.930919
3533.0,997,100.312537
-485.0,485,100.583083
2942.0,937,100.983814
7040.0,1980,102.640263
2206.0,862,103.009048
1323.0,275,103.219959
2033.0,669,104.488655
1217.0,822,104.856488
6016.0,1503,106.341512
218.0,688,106.70317
3614.0,831,107.064428
1722.0,301,107.280595
-1198.0,576,107.572543
781.0,813,108.995053
2556.0,681,109.321821
-1609.0,279,109.535811
1564.0,272,109.745364
608.0,535,110.027812
-80.0,586,111.366168
3785.0,716,111.711746
5098.0,1241,112.188937
-1428.0,308,112.408516
1566.0,852,113.784516
-94.0,600,114.087936
3747.0,1362,115.528579
3523.0,1108,116.019637
3176.0,902,116.410112
1191.0,851,117.750837
2496.0,967,118.181794
3359.0,825,118.543843
2930.0,987,119.914555
4674.0,1013,120.377114
4387.0,1583,121.853256
2638.0,1077,122.331275
1495.0,294,122.545316
-833.0,383,122.781568
4135.0,1042,124.212015
6004.0,1672,124.836532
6679.0,1450,126.321574
972.0,949,126.731741
3189.0,900,127.113834
-314.0,554,128.365971
-732.0,491,128.657878
439.0,737,128.995987
3357.0,1371,130.479
-1653.0,516,130.775569
39.0,362,131.008217
2447.0,1255,131.483749
3054.0,975,132.901522
-850.0,525,133.18044
3599.0,731,133.515021
2679.0,1181,134.950606
4826.0,924,135.380484
3634.0,1252,135.865297
-737.0,739,137.18643
1803.0,493,137.456669
2173.0,787,137.806891
1509.0,981,139.129236
-2123.0,406,139.404317
2410.0,1140,139.869427
3236.0,1073,141.281682
4227.0,1109,141.762721
1128.0,718,142.097291
5344.0,1713,143.699635
-465.0,450,143.959968
4524.0,1559,145.466434
2760.0,1141,145.968897
1957.0,587,146.266675
4283.0,1373,147.770575
1124.0,514,148.051919
4383.0,1383,148.583311
1835.0,1088,150.004837
-1514.0,304,150.22222
986.0,700,150.54838
996.0,392,150.790655
1283.0,990,152.206826
1955.0,812,152.590873
6940.0,1712,154.125754
1121.0,948,154.533804
2981.0,778,154.881664
4459.0,1501,156.428885
2702.0,1151,156.883923
475.0,819,158.193669
-149.0,498,158.490577
1343.0,770,158.846404
3769.0,1071,159.281447
-1442.0,473,160.570464
1426.0,390,160.838762
-433.0,472,161.100227
1653.0,574,161.395725
-1193.0,283,161.609255
1563.0,930,163.032633
1944.0,877,163.428486
-1721.0,311,163.647364
1433.0,973,164.052215
1763.0,941,165.497837
4140.0,752,165.843348
107.0,303,166.062937
3239.0,1014,167.461402
1990.0,298,167.719227
2331.0,1092,168.155652
-381.0,677,168.475469
686.0,766,169.825095
906.0,760,170.207318
210.0,550,170.505072
514.0,837,170.865629
8863.0,2274,172.68393
-1858.0,278,172.892306
4669.0,1167,174.281538
-528.0,528,174.573656
2043.0,998,174.982763
6844.0,1603,176.554807
1577.0,807,176.923827
1739.0,1039,178.263454
1768.0,1100,178.731281
-947.0,357,178.967177
5575.0,1348,180.476447
-947.0,551,180.792265
792.0,900,181.175786
3909.0,1071,182.625324
4476.0,1380,183.181918
0.0,564,183.478671
-1575.0,285,183.69237
131.0,632,185.02834
-1425.0,315,185.2763
3112.0,1023,185.684438
-362.0,443,185.940675
476.0,930,187.348752
3613.0,661,187.706397
1572.0,966,188.110516
-397.0,507,188.384482
967.0,715,189.74857
23.0,297,189.988527
7079.0,1814,190.628032
-927.0,417,191.840396
1286.0,863,192.240622
1943.0,887,192.618762
4361.0,1398,194.157181
-1079.0,377,194.404183
3912.0,756,194.751662
4635.0,962,196.07271
-1597.0,307,196.319601
1060.0,657,196.640768
-670.0,549,196.929445
-411.0,542,197.212024
-236.0,501,198.524206
5061.0,1191,199.037532
2578.0,935,199.436985
8616.0,2272,201.217764
-806.0,286,201.428846
3452.0,1088,202.811043
606.0,307,203.043364
3191.0,1295,203.556687
1778.0,472,203.824133
-2051.0,521,205.149164
1923.0,649,205.504921
-462.0,477,205.768552
926.0,744,206.107581
-220.0,823,207.499553
1634.0,799,207.886705
3670.0,1141,208.344978
577.0,490,209.568589
889.0,526,209.902593
781.0,723,210.23681
3522.0,680,210.565481
2118.0,979,211.979005
-1098.0,300,212.221932
3275.0,1283,212.72348
322.0,737,213.061665
1174.0,658,214.442891
2093.0,1054,214.899131
1079.0,281,215.109468
-1078.0,358,215.339443
4097.0,1229,216.876423
1038.0,841,217.267164
-1665.0,305,217.486008
897.0,963,218.863167
515.0,411,219.148993
4040.0,1165,219.611224
1633.0,899,220.00421
2834.0,912,221.458966
1221.0,771,221.807594
1767.0,1106,223.164601
4322.0,1132,223.671689
-1485.0,364,223.910525
4318.0,1257,225.358454
1605.0,306,225.614723
1966.0,1068,226.052923
-1569.0,309,226.26914
1482.0,475,226.537499
3797.0,1200,228.094488
-701.0,605,228.415388
-1934.0,324,228.639494
4850.0,1474,230.166678
1432.0,705,230.525332
1554.0,750,230.865369
-936.0,437,231.120692
5887.0,1410,232.695858
-1099.0,309,232.916957
-937.0,467,233.184305
-1756.0,286,233.39615
3834.0,1284,234.925046
324.0,574,235.241756
2554.0,1222,235.71576
-1704.0,463,236.960832
1042.0,625,237.31442
4197.0,1095,237.751187
3683.0,1253,239.235427
-435.0,493,239.51747
2851.0,658,239.840081
913.0,757,240.197066
1533.0,909,241.653009
-1273.0,293,241.880234
3509.0,975,242.284899
-1477.0,337,242.506634
-59.0,650,243.852655
2845.0,781,244.231096
4187.0,831,244.594532
2406.0,507,244.870526
3627.0,768,246.258955
-520.0,550,246.575651
4028.0,1162,247.037386
4102.0,807,248.369157
610.0,769,248.762712
-811.0,561,249.058862
2206.0,785,249.424724
4098.0,941,250.870981
-955.0,305,251.102233
-761.0,331,251.331863
3715.0,1513,252.840482
2002.0,882,253.267249
1644.0,645,253.585643
5151.0,1653,255.156201
883.0,805,255.52756
671.0,784,255.881992
-1456.0,306,256.101446
-1112.0,522,257.39591
-1045.0,285,257.649141
-550.0,666,257.970467
5784.0,1464,258.509725
949.0,489,259.815124
-231.0,467,260.113151
-772.0,542,260.406105
3943.0,1501,261.956773
4502.0,848,262.362572
5152.0,1309,262.868047
-227.0,748,264.210038
285.0,711,264.565154
1724.0,908,264.950013
628.0,801,266.278691
240.0,812,266.691572
679.0,660,267.012105
6271.0,1584,268.581994
-1447.0,287,268.814262
679.0,815,269.171899
2475.0,522,269.455419
8832.0,1809,271.14568
1149.0,947,271.549802
1935.0,941,272.903084
3091.0,1069,273.384884
2183.0,759,273.726541
100.0,689,275.013906
2836.0,1205,275.525644
-1611.0,401,275.782604
2400.0,869,277.124989
564.0,393,277.420941
2502.0,921,277.815089
279.0,720,278.148311
808.0,482,278.422617
3801.0,1007,279.950876
3001.0,896,280.352687
3407.0,759,280.696037
911.0,479,281.934701
5972.0,1146,282.434134
867.0,479,282.7067
-535.0,467,282.966752
2322.0,1055,284.420866
2071.0,1051,284.854367
3307.0,1169,286.232113
-181.0,592,286.562809
4096.0,1334,287.08162
2978.0,902,288.44788
3178.0,590,288.771031
1080.0,523,289.047498
1232.0,673,289.372813
4718.0,1247,290.911224
-917.0,517,291.193726
1113.0,855,291.577592
226.0,695,292.878953
1728.0,307,293.146249
-1277.0,287,293.369237
-1744.0,474,293.633432
-1141.0,301,293.846544
-63.0,563,294.13323
1134.0,644,294.445289
1185.0,269,295.816217
1481.0,293,296.065663
-621.0,578,296.370256
573.0,938,296.758421
667.0,789,298.123083
6097.0,1869,298.852902
1859.0,1005,300.206847
4491.0,1547,300.809735
2940.0,750,301.147806
2264.0,1240,302.657287
4820.0,1551,303.250634
1670.0,283,304.416964
-727.0,309,304.666987
3310.0,1191,305.134124
-856.0,476,305.400679
2954.0,1267,306.97774
1135.0,953,307.380572
4334.0,1411,308.858818
910.0,640,309.20053
1219.0,299,309.416336
1275.0,929,309.80688
1616.0,275,310.013283
1465.0,609,311.421501
1238.0,925,311.852905
-581.0,614,312.15947
3610.0,912,313.535076
2682.0,1158,314.023384
-1627.0,387,314.263429
4605.0,1323,315.785619
-1461.0,301,316.02906
2674.0,1166,316.496978
-624.0,456,316.756459
2797.0,1401,318.343009
1888.0,723,318.680765
3030.0,568,318.978707
1186.0,997,320.403822
3250.0,849,320.799237
3104.0,872,321.174291
184.0,410,322.391635
289.0,770,322.780122
1491.0,272,322.989233
502.0,737,323.337706
-148.0,649,323.649663
4780.0,1040,325.207419
2071.0,1052,325.638652
5743.0,1706,327.249907
3476.0,1013,327.67064
-892.0,282,327.885138
5543.0,2007,329.593866
3861.0,834,329.975381
2295.0,754,331.279373
5770.0,1402,331.850976
1763.0,791,332.211053
1019.0,281,333.415199
-480.0,699,333.779567
-595.0,564,334.07363
3233.0,1149,334.534824
1531.0,462,335.825112
5311.0,1695,336.481096
4378.0,1158,337.904217
6493.0,1913,338.583713
1581.0,842,339.919005
-130.0,714,340.287719
1683.0,551,340.573143
1104.0,879,341.919436
3483.0,1068,342.40352
1367.0,836,342.789362
2603.0,869,344.129254
-1273.0,293,344.388433
2767.0,778,344.798284
4817.0,1227,345.267566
6927.0,1352,346.8654
-1710.0,300,347.088639
-1630.0,280,347.299088
-2445.0,325,347.523086
4016.0,1145,348.998756
3389.0,1075,349.481085
2291.0,708,349.815306
1583.0,900,351.180793
3233.0,685,351.541125
2937.0,1236,352.031515
668.0,1003,353.454565
116.0,750,353.825662
2553.0,1041,354.242756
-562.0,722,355.604203
3581.0,1264,356.113018
4480.0,1559,357.654191
-1129.0,299,357.895981
11.0,551,358.190383
412.0,699,358.528511
855.0,877,359.923529
1771.0,771,360.315245
3367.0,1387,360.857224
4215.0,977,362.274274
1399.0,649,362.595254
2451.0,840,362.965818
2278.0,596,364.253582
5505.0,1925,365.009148
-144.0,269,365.216247
2171.0,477,366.443339
422.0,707,366.832906
3034.0,1081,367.289186
4214.0,1312,368.785373
557.0,887,369.19743
2148.0,793,369.552147
240.0,581,370.821545
-1048.0,288,371.087402
2055.0,936,371.501615
292.0,588,371.802323
6622.0,1547,373.457441
3486.0,1074,373.906751
2629.0,548,374.193554
3805.0,807,375.579897
1397.0,887,376.00262
-178.0,653,376.312436
3447.0,1092,377.780637
6888.0,1918,378.518499
2412.0,1123,379.970828
758.0,748,380.329844
2446.0,839,380.716732
-810.0,420,380.975281
1670.0,295,382.429929
-2112.0,312,382.712655
-1006.0,316,382.944476
4985.0,1598,383.541145
1224.0,281,384.87568
4114.0,861,385.340845
852.0,805,385.706295
1348.0,725,386.03932
4542.0,935,387.526161
2608.0,856,387.932803
2866.0,1243,389.366051
1842.0,978,389.830145
2111.0,895,390.223403
3816.0,1460,392.081039
4368.0,933,392.515634
-1258.0,368,392.754834
1363.0,306,392.971389
1818.0,871,394.386381
2911.0,581,394.733987
2190.0,873,395.127656
-1441.0,321,395.35732
381.0,681,396.87437
686.0,816,397.360357
1620.0,996,397.83965
2501.0,1144,399.512305
2521.0,1141,400.071878
8066.0,1602,401.750874
1722.0,774,402.156482
2521.0,1151,402.616851
-806.0,399,403.90806
-1562.0,292,404.199329
800.0,734,404.573208
200.0,590,404.875797
3551.0,1074,406.385006
-673.0,543,406.769699
2909.0,934,407.187829
-55.0,773,407.536984
3183.0,1198,409.153246
1243.0,983,409.598145
2319.0,979,411.028057
3646.0,1370,411.664855
-1098.0,358,411.903487
5562.0,1429,413.535315
112.0,602,413.880086
-970.0,290,414.104585
1319.0,794,414.463044
-2471.0,281,414.675411
4348.0,983,416.306215
-361.0,401,416.582512
428.0,630,416.901144
4862.0,1553,418.623605
131.0,582,418.968419
2.0,286,419.194295
5390.0,1101,420.66805
6150.0,1105,421.241305
1408.0,408,421.525862
-568.0,520,421.846492
2338.0,770,423.530301
3367.0,1186,424.132221
3786.0,1362,424.649337
3301.0,815,426.092439
2183.0,1051,426.567701
-1577.0,357,426.806693
2217.0,1151,428.412713
5636.0,1809,429.114416
3339.0,1076,430.816031
5056.0,1287,431.366749
3842.0,810,432.814208
2518.0,1012,433.329296
4048.0,1121,433.789536
-660.0,612,435.185531
1080.0,1011,435.703474
1556.0,1061,436.148815
4405.0,1276,437.867349
4303.0,1209,438.395241
1048.0,614,439.78866
4167.0,1049,440.366368
4445.0,1332,440.914606
-1602.0,332,442.355349
3905.0,1113,442.943752
1061.0,841,443.329016
732.0,794,444.787321
