#{"t_start": 1761615702.6987169, "env_id": "None"}
r,l,t
-659.656962,1732,0.942502
-382.552756,737,1.258211
-1314.160635,1286,1.701248
-344.619773,414,1.977305
-75.547928,414,2.25646
19.090985,340,2.511288
-898.648769,1097,2.90733
-514.664614,1357,3.36217
-643.203821,426,3.634758
-462.450521,409,8.387929
12.205042,414,8.688695
-45.324407,351,8.956071
-333.219528,830,9.291924
-787.330543,1504,9.776142
39.55608,340,10.023598
-133.34706,424,10.307494
-915.405499,1301,10.749579
-91.79921,351,10.999575
-774.899534,1431,11.469901
-49.468549,410,11.742066
-369.34992,749,16.198608
-862.693899,961,16.590446
-2397.011468,1724,17.125891
-410.185292,351,17.377046
-378.860899,425,17.670747
-10.805919,414,17.957977
-335.475079,428,18.250516
-153.844857,425,18.542435
-953.088081,1620,19.063423
-1743.643329,1762,23.837002
-807.491955,1279,24.298289
-402.241763,340,24.549566
-593.298226,944,25.050899
-572.629338,396,25.3271
-54.905209,425,25.623834
-1187.666555,1326,26.076247
-1790.672152,1685,26.59932
-102.159843,340,26.848515
-934.472085,1957,31.794918
-778.817295,1680,32.327424
-581.313013,414,32.609746
-1029.716543,1451,33.087888
-416.911808,871,33.426302
-6.99223,396,33.698672
-1168.63793,1615,34.217232
-577.770771,1252,39.013764
-505.595256,1696,39.856004
-361.357517,1010,40.235428
-730.294093,1742,40.776061
-869.793033,1909,41.356777
-72.324099,340,41.607306
-1184.342236,1581,46.507904
-3148.998621,2252,47.188965
-999.543775,1668,47.712651
-341.556491,1180,48.128108
-210.336765,414,48.412285
11.890317,351,48.686029
39.856263,351,48.963693
-1367.518158,1166,49.381425
-115.129597,351,54.071662
-881.776822,1267,54.542557
-105.084411,414,54.832921
-386.828275,396,55.12798
60.580018,340,55.403363
-1406.431361,2084,56.039914
-605.711385,396,56.314427
-19.723166,414,56.616847
-172.935561,351,56.892527
-930.533619,1964,57.510177
-363.181113,1006,62.388127
-1463.379859,2103,63.018226
-32.351638,425,63.307327
-353.313026,434,63.619446
-29.938923,413,63.916607
-53.442502,425,64.22593
-1073.238358,1627,64.997842
-1854.331575,2700,70.285735
-1412.743276,2306,70.959697
-39.169831,447,71.257663
-399.701165,414,71.557571
-42.208709,414,71.860737
-191.125565,879,72.214075
-1356.450085,2700,72.977978
-1276.957903,1827,78.076804
-1073.525079,1658,78.821239
-957.645979,2141,79.458364
-376.057314,425,79.750517
-126.604122,411,80.049264
-992.078224,1768,80.612598
-939.892054,1136,85.542568
-56.658506,351,85.813467
-655.447478,1185,86.246943
-15.774017,429,86.541511
-401.881223,1129,86.951483
-1333.864664,1506,87.43254
-315.033217,1376,88.118345
-18.210118,425,88.409997
-1458.718477,413,88.709484
-301.549476,1005,93.743153
-230.241144,1500,94.232185
-1047.58795,1460,94.765186
-83.469902,396,95.053532
-173.614122,420,95.379053
-404.265853,340,95.6608
-322.928269,340,95.950855
20.168814,405,96.262143
-380.290532,415,96.581657
-466.514345,414,96.888181
-107.705039,340,97.175391
-12.165513,340,97.462845
-646.704502,351,97.75443
-2435.928059,1938,103.09089
-53.491021,340,103.365094
-85.685865,416,103.688745
-91.593379,415,104.006979
-373.173052,415,104.324141
-15.198832,340,104.60612
1.742625,340,104.896212
-4.639806,445,105.220542
-543.787413,1392,105.695796
-315.831415,418,105.988122
-125.571535,415,106.299601
-368.316114,417,106.608523
-47.052833,340,106.884901
-436.224419,414,107.195958
-92.920727,422,107.501861
-1479.639483,2398,113.023818
-698.315461,1808,113.577277
21.054076,337,113.89259
-253.929095,340,114.200898
1.52039,351,114.488817
-8.259395,340,114.777801
1.44498,340,115.062984
-311.443232,442,115.395947
-836.193899,1144,115.815914
-635.513688,340,116.087673
-36.239865,351,116.379463
-659.83797,414,121.83244
-97.708268,415,122.182574
-84.977726,425,122.507492
-422.323605,351,122.794086
-46.334022,415,123.117566
-79.983606,414,123.437238
-41.778416,340,123.726719
-380.735363,351,124.025025
-284.721423,903,124.540095
-88.301501,417,124.835012
-93.539352,340,125.119623
26.533185,351,125.410864
29.674589,340,125.706263
-55.301402,351,125.999004
-92.522973,340,126.287017
-1714.48616,1565,126.804087
-121.125555,414,127.096421
-769.542425,1596,132.464292
-17.099383,340,132.737956
-330.357641,340,133.033638
-244.665252,340,133.331471
-640.977051,415,133.658543
-776.174346,1739,134.210355
-87.040691,351,134.479881
-86.121377,340,134.766056
-365.380949,444,135.094337
-122.609482,415,135.407233
-31.402225,340,135.691636
-1743.293598,2700,141.242188
-818.709893,1369,141.696947
-102.331901,351,141.966806
-662.263771,1590,142.71261
-1580.723811,2018,143.57282
-310.812453,396,143.851421
-884.464659,980,144.462665
-63.769116,340,149.424064
-631.09202,414,149.780522
-79.419191,396,150.086862
-1286.413878,2700,150.875152
-41.103718,415,151.173245
-17.339927,415,151.487643
-383.040075,426,151.79956
-728.274189,415,152.11172
-60.42812,414,152.427317
-106.802564,351,152.712914
-93.502921,415,153.038836
-32.84465,426,153.359031
-357.411625,419,153.674779
5.68157,340,153.957093
7.475478,340,154.251244
-147.520792,340,159.40381
-120.801019,414,159.744007
-10.442106,452,160.078096
-5.256146,414,160.384292
-229.602094,428,160.713153
-68.191316,415,161.033532
-104.962397,415,161.362003
-416.776589,340,161.648784
-67.844918,414,161.973536
-3.325184,340,162.262375
-598.795168,351,162.556286
-92.955178,426,162.880781
9.323665,340,163.170997
-45.38397,415,163.501567
-12.6915,414,163.813239
-10.375994,424,164.137067
-82.596546,396,164.442311
-144.296896,414,164.756611
-2682.519924,2090,170.263919
18.768049,396,170.558577
