#{"t_start": 1761722092.426423, "env_id": "None"}
r,l,t
19.235714,341,0.673853
13.021429,412,0.987193
19.671429,1582,2.069883
19.321429,1447,3.121581
19.0,359,3.470667
16.664286,2239,4.969768
19.285714,653,5.559153
19.0,864,6.259703
16.228571,1239,7.16545
19.285714,421,7.574871
16.057143,1124,8.40868
13.121429,409,8.806812
19.171429,1190,9.771951
13.192857,805,10.42325
13.292857,1430,11.451227
19.271429,403,11.874741
19.114286,959,12.64155
16.0,380,13.094274
13.0,748,13.70835
13.135714,475,14.152474
16.042857,365,14.569033
19.142857,346,14.932858
16.0,344,15.278928
13.821429,1111,16.13557
13.278571,1416,17.264839
19.078571,416,17.645828
13.557143,980,18.482851
13.685714,2696,20.352067
13.414286,1673,21.635733
19.192857,1790,22.960668
16.192857,983,23.852193
16.235714,398,24.268281
19.164286,357,24.652279
13.0,354,25.00168
