#{"t_start": 1761856927.985591, "env_id": "None"}
r,l,t
-2336.0,443,0.747147
-2456.0,304,0.970133
-2497.0,468,1.240527
-1697.0,441,1.496979
-2603.0,869,1.871216
-2384.0,1096,5.83834
-2588.0,387,6.08273
-2742.0,466,6.351041
-760.0,731,6.691567
-923.0,1375,10.375754
-2632.0,638,10.686946
-959.0,599,10.985018
-2213.0,281,11.19451
-601.0,1090,14.922315
-2122.0,1474,15.463152
99.0,1124,18.737477
-2574.0,299,18.963495
-1935.0,842,19.384796
-2467.0,304,19.638598
-2499.0,689,23.498583
85.0,281,23.739887
-717.0,734,24.092552
-241.0,1592,27.831798
-2497.0,409,28.093499
-2576.0,1671,28.699093
-2466.0,299,32.00013
-2345.0,358,32.269734
-2488.0,1237,32.751316
-2004.0,966,33.14727
-2391.0,414,36.674083
-2494.0,304,36.919165
-2534.0,899,37.305393
-1216.0,2012,41.333589
-2520.0,295,41.550338
-1692.0,1165,42.029468
-752.0,1023,45.961534
-2530.0,306,46.184569
-2702.0,995,46.593634
-2495.0,1210,50.182412
-2696.0,320,50.42223
-2177.0,291,50.637152
-1709.0,1079,51.067861
-69.0,276,51.276702
-758.0,786,55.390775
-2367.0,728,55.744598
-2504.0,299,55.957063
-2663.0,1234,59.682909
-1831.0,843,60.101975
-3096.0,599,60.40283
-974.0,987,60.810684
-2283.0,470,64.71934
-2428.0,300,64.971532
-2244.0,287,65.186334
-1750.0,1009,65.600591
-655.0,1110,69.471069
-1422.0,850,69.882536
-2753.0,406,70.13076
-2500.0,290,70.345876
-2185.0,505,70.620305
-1975.0,1105,74.799368
-1955.0,2060,78.323021
-686.0,297,78.588325
218.0,960,78.989184
-1639.0,1225,79.472547
-2505.0,303,83.145269
-2414.0,305,83.407742
-2361.0,304,83.629381
-2226.0,841,83.994672
-1042.0,1077,84.43071
-1766.0,1226,88.556033
-1876.0,1001,88.972916
-2808.0,460,89.23713
-1758.0,1036,92.97527
-2715.0,1369,93.489311
-1736.0,1518,97.190196
-1723.0,1435,97.730039
-2399.0,496,101.010033
-2684.0,324,101.252395
-2666.0,348,101.496512
-1788.0,1170,101.954375
-2068.0,599,105.771432
-2114.0,1039,106.237392
-2345.0,290,106.462913
-2370.0,297,106.678145
-1566.0,272,106.886822
-2524.0,424,107.138897
-658.0,1123,111.542118
-1660.0,903,111.92386
201.0,576,112.218995
-2074.0,633,115.828491
-1892.0,1095,116.293348
-2274.0,278,116.506502
-2482.0,898,116.891049
-937.0,509,120.713649
-1831.0,1114,121.184268
-2307.0,300,121.40139
-2233.0,760,121.748964
-2432.0,582,125.674523
-2241.0,436,125.958565
-1993.0,816,126.319011
-2801.0,802,126.671995
405.0,902,130.622203
-2356.0,669,130.95848
-2050.0,653,131.275373
-2301.0,293,131.497433
-3284.0,431,135.330419
-2447.0,537,135.667343
-2654.0,304,135.887749
-2392.0,302,136.106963
-2475.0,705,136.446903
-1976.0,269,136.659539
-1996.0,829,141.026349
-2847.0,364,141.28888
-726.0,831,141.667137
-2541.0,681,141.990012
-1714.0,1348,146.132399
-1566.0,1592,146.710323
-2145.0,658,150.092566
-2123.0,1173,150.585564
-2012.0,1151,151.044135
-646.0,1080,154.876115
-2183.0,537,155.171165
-1044.0,281,155.38426
-664.0,600,155.690609
