#{"t_start": 1761457862.6851861, "env_id": "None"}
r,l,t
-54.63496,1337,0.818242
-43.972671,1730,1.372118
38.776429,340,1.591011
-47.520076,1360,2.050196
-53.192503,2359,2.751873
45.349978,414,2.98519
-70.897361,1265,3.422017
-79.168683,1916,4.018382
50.391961,2700,4.79995
-54.962669,1267,5.249515
-31.149579,1398,5.719682
-57.168851,716,6.024762
44.96626,340,6.23556
-53.244759,937,6.595585
-61.16268,1738,7.143093
-38.528642,1568,7.647136
-62.534354,1158,8.055326
-36.43806,1647,8.597981
-51.08459,1365,9.051837
-28.490965,1211,9.47141
-1.157265,2390,10.176871
-62.718669,1418,10.644256
-77.327499,889,10.9901
-31.769539,1258,11.426737
-54.99566,1739,11.979404
-30.117785,2700,12.758404
-109.350181,1676,13.292539
-56.410911,621,13.573546
-74.757888,2301,14.258639
-48.918446,963,14.621448
-40.071156,1212,15.045874
-67.279632,2163,15.686005
-93.609524,1285,16.149714
-26.99262,2668,16.913438
-19.283289,1900,17.497794
-52.784175,985,17.861483
-8.278483,1626,264.278826
-42.625835,767,264.67906
-67.141598,1653,265.215249
-43.278733,1391,265.687821
-42.827835,1496,266.175504
-75.690903,2502,266.928801
-7.8717,844,267.268153
-70.465294,1418,267.739454
-39.783647,786,268.062769
-33.138241,2671,268.839882
38.363285,2700,269.643357
-58.086838,1809,270.209848
67.588272,414,270.439935
-63.12682,2132,271.089684
-25.723922,1555,271.600356
-64.23682,1365,272.065628
54.959356,414,272.297553
-51.714585,639,272.583111
-42.722947,1437,273.059508
-40.351018,1375,273.514778
-44.737226,1079,273.905515
-38.730098,1173,274.318214
-45.068054,770,274.635917
-82.23347,1307,275.080693
-81.324669,1411,275.550692
10.562193,2700,276.334361
-57.750062,1210,276.752167
-77.045696,1332,277.208666
-48.479659,780,277.531798
-62.891718,2036,278.152069
-77.688154,1199,278.571827
-81.212974,1040,278.957646
-40.466289,1577,279.48704
-19.629513,2281,280.21263
46.66917,340,280.432628
-20.154903,969,280.967886
-89.334011,2286,281.92722
-55.682793,1584,282.707122
-16.044223,2700,553.26477
-58.558699,1254,553.932516
-63.758488,2391,555.092629
-51.711901,802,555.628962
17.373409,2700,556.789725
-45.097024,796,557.268788
-70.724277,744,557.732598
8.783448,2700,558.908929
18.801659,2700,560.07385
-45.093563,1038,560.636305
-40.983347,1113,561.223727
38.268302,414,561.453851
132.343054,1421,562.136509
-5.02804,2466,563.197327
-57.69774,791,563.643394
-48.124291,1180,564.245593
-8.030245,1100,564.830946
-44.951942,869,565.330466
44.710075,340,565.557928
-34.740032,2151,566.520993
-10.053042,2214,567.48816
-80.565297,2075,568.384197
-75.804685,1295,569.016299
-9.990743,1520,569.725137
-51.75355,1523,570.431188
