#{"t_start": 1761540848.875562, "env_id": "None"}
r,l,t
-117.60734,965,0.856696
10.762325,717,1.229552
-69.70017,1324,1.807954
-29.281286,1207,2.328905
-29.147301,1202,2.849643
-11.45272,1094,3.336951
34.593589,776,3.726085
-52.479627,1433,6.975625
-66.51224,1143,7.47973
-4.682683,1497,8.194304
-43.605687,1349,8.774483
6.466348,1258,9.318224
-14.198526,1467,9.919495
11.251054,1104,12.876045
1.066145,1158,13.403756
-58.626338,1252,13.948931
-68.142319,1742,14.686064
3.241553,1060,15.167148
-29.380122,1458,15.784482
-10.386504,855,16.197177
1.378218,1050,19.291481
-14.725726,1356,19.874912
-1.08934,1236,20.416445
15.882726,742,20.803885
-23.195627,1690,21.53576
9.978875,1118,22.040406
-21.019531,987,22.503073
-126.510763,1546,25.749241
-34.920357,771,26.149105
-8.227752,1131,26.654908
-8.316171,916,27.09747
-18.776409,1382,27.691252
-26.041858,1278,28.238472
-37.718352,1990,31.642688
0.253321,929,32.102643
-68.697031,1003,32.577349
-33.751059,1492,33.200311
0.629057,1379,33.786163
45.864724,739,34.170808
-36.83837,1451,34.787584
-33.298421,1809,38.140577
-57.21981,1208,38.681241
-31.82132,1402,39.280191
-51.935225,1606,39.94506
-0.431831,1178,40.468604
-94.19997,1658,43.74584
-18.256542,1249,44.31505
4.931245,1224,44.860601
-4.742015,1346,45.447431
-24.30428,1305,46.018998
3.206213,1142,46.535227
16.151,842,46.958722
-47.353734,1104,50.149278
-16.20879,1145,50.681899
-12.135225,985,51.146636
-17.788141,976,51.613241
-31.478057,1471,52.237378
-16.014685,1102,52.745212
-44.622941,1258,53.302742
-11.126682,1106,56.492692
15.553362,1391,57.107646
-69.965229,1240,57.657916
5.368306,1220,58.21607
-70.643163,1402,58.815229
-22.47024,1563,59.467831
-30.019205,1485,62.790265
-13.950728,1508,63.433116
-16.067743,1209,63.970711
7.246409,888,64.413942
13.23774,1358,65.003426
-13.716498,965,65.474678
-8.606319,934,65.932867
-18.565636,1375,69.231025
-88.380817,1487,69.868197
-13.849523,765,70.272462
-63.018945,1154,70.804806
-36.953762,1504,71.4489
-78.499452,1464,72.070186
14.731717,959,75.208713
-53.389199,1211,75.812318
-73.106411,1185,76.3618
-40.627014,968,76.871168
-5.360861,1309,77.460847
-96.208656,1555,78.123265
-7.373641,1126,78.64257
-33.294739,1699,82.079979
-48.78003,1166,82.610027
-41.787939,1450,83.228971
-60.574492,1105,83.740039
-12.918511,1520,84.384295
-19.563064,1829,85.123022
-36.525171,1584,88.507103
19.348336,1036,89.048908
-32.932879,1478,89.681932
-20.185349,1178,90.212391
12.670811,1241,90.76446
-39.248399,1519,91.407528
-65.264147,1326,94.74022
16.363488,1023,95.23053
13.514384,887,95.672353
23.19235,764,96.080205
4.320204,1140,96.604257
8.658224,1082,97.111716
-21.035571,822,97.534499
-40.794337,809,97.956602
-78.561997,1208,101.301013
-42.855661,1144,101.839083
-26.076253,1392,102.447113
33.430498,1088,102.959546
-22.304291,1200,103.502013
-42.478824,1187,104.045103
29.639662,1098,104.558316
-42.051466,939,107.782322
28.269928,1265,108.357319
-17.699595,1346,108.950603
-34.375238,1383,109.55673
-63.709548,1434,110.167156
16.852789,1259,110.729797
-69.984305,1733,114.316047
-101.352228,1005,114.802561
1.188694,852,115.23674
-6.959988,1242,115.798756
-22.294554,1336,116.382674
-27.919055,1875,117.147288
2.159258,628,117.510425
-73.115475,1921,121.091605
-26.353876,1247,121.650804
-18.65797,999,122.130082
-113.889402,1651,122.813652
-76.862143,1221,123.364597
-90.737775,1323,126.722362
2.066846,683,127.145924
-44.618564,1446,127.779723
12.964028,826,128.212679
-82.718569,1212,128.756731
-15.830823,1066,129.264075
-55.968258,939,129.729265
-25.025693,1836,133.274305
-38.706506,750,133.724695
-18.907832,1088,134.245404
-22.625226,1092,134.761052
-14.825438,1045,135.26217
-41.782567,1046,135.76472
9.039066,1535,136.419065
-98.132111,1595,139.899344
-31.060221,1237,140.509437
-17.937666,1225,141.069487
-30.001426,1550,141.727151
-36.017831,1252,142.291861
-48.382533,939,142.757092
16.5853,570,143.100703
-42.599764,1566,146.619357
-33.885105,1783,147.377027
-8.407917,1095,147.895159
-62.833334,1155,148.440275
-50.061032,1404,149.056828
-57.122975,941,149.523337
-26.43879,1219,150.077438
-56.746866,1412,153.51623
-23.944206,1478,154.154484
-87.964815,1503,154.792939
-33.26098,1223,155.357543
-69.610591,833,155.793275
-26.634672,1763,159.314554
-46.719568,1263,159.941562
-16.544956,944,160.410993
-76.031146,1538,161.07469
-1.339236,956,161.545747
-13.374295,1115,162.064944
-52.850498,1044,162.564164
-37.442687,1007,163.051835
-28.19694,1198,166.433799
-8.97925,1303,167.016992
-99.36417,1116,167.545187
-16.476079,1557,168.211494
26.06333,1181,168.764366
-47.942279,1367,169.366984
25.730977,1051,172.697961
-68.944416,1281,173.298693
-84.408034,1679,174.001014
-54.392752,1026,174.495531
-29.563773,1056,174.999564
-7.029622,1451,175.622845
-41.691966,693,176.010492
-3.848363,1396,179.458486
-78.417717,1349,180.063952
-27.437312,1002,180.555101
26.170674,1079,181.069305
-47.122081,1020,181.563211
-13.607442,1134,182.112231
4.822111,1147,182.64747
4.700972,1264,186.078376
-28.321377,1348,186.681945
21.678815,1159,187.232765
-78.950747,1863,187.988816
-54.725744,1674,188.686103
-24.869354,839,189.122136
-7.069494,985,192.446886
-49.997038,1114,192.979118
-1.102581,1075,193.492543
0.705995,1721,194.210942
19.428385,893,194.666176
20.552099,796,195.091267
-43.33274,1564,195.770856
